GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2016;;;;;;;
Monate: Februar;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09188117;      Andechs;.;.;.;.;.;.
09188118;      Feldafing;1819;4285;1518;3518;301;767
09188120;      Gauting;979;1826;867;1589;112;237
09188121;      Gilching;.;.;.;.;.;.
09188124;      Herrsching a.Ammersee;3032;5713;2705;4975;327;738
09188126;      Inning a.Ammersee;542;1240;526;1138;16;102
09188127;      Krailling;-;-;-;-;-;-
09188132;      Seefeld;378;810;345;732;33;78
09188137;      Pöcking;1366;2755;1302;2650;64;105
09188139;      Starnberg, St;2240;4381;1862;3563;378;818
09188141;      Tutzing;1200;2422;1151;2305;49;117
09188144;      Weßling;580;1499;482;1273;98;226
09188145;      Wörthsee;420;1540;363;1351;57;189
09188444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09189;    Traunstein (Lkr);45442;200610;38002;176312;7440;24298
09189111;      Altenmarkt a.d.Alz;457;836;428;778;29;58
09189113;      Bergen;525;1303;344;1042;181;261
09189114;      Chieming;1783;9595;1575;9036;208;559
09189115;      Engelsberg;.;.;.;.;.;.
09189118;      Fridolfing;.;.;.;.;.;.
09189119;      Grabenstätt;152;478;105;328;47;150
09189120;      Grassau, M;1651;3168;1311;2656;340;512
